assignment_id,partner_id,pricing_plan_id,recommended_pricing_plan_id,effective_date,expiration_date,review_due_date,negotiated_bps,negotiated_per_txn_fee_usd,monthly_minimum_fee_usd,exception_flag,exception_type,approval_status,approved_by_role
A000001,P000001,HIGH_RISK,HIGH_RISK,2023-04-12,,2025-04-11,106.63,0.102,2999.0,0,None,Not Required,None
A000002,P000002,PLATFORM_ISV,PLATFORM_ISV,2023-02-07,,2025-02-06,56.36,0.0497,999.0,0,None,Not Required,None
A000003,P000003,PLATFORM_ISV,PLATFORM_ISV,2024-01-05,,2026-01-04,52.29,0.0459,999.0,0,None,Not Required,None
A000004,P000004,HIGH_RISK,HIGH_RISK,2025-02-07,,2027-02-07,115.74,0.1047,2999.0,0,None,Not Required,None
A000005,P000005,HIGH_RISK,HIGH_RISK,2025-08-27,,2027-08-27,106.91,0.0945,2999.0,0,None,Not Required,None
A000006,P000006,PLATFORM_ISV,PLATFORM_ISV,2024-09-08,,2026-09-08,48.65,0.0511,999.0,0,None,Not Required,None
A000007,P000007,PLATFORM_ISV,PLATFORM_ISV,2024-11-07,,2026-11-07,53.79,0.0472,999.0,0,None,Not Required,None
A000008,P000008,PLATFORM_ISV,PLATFORM_ISV,2024-10-07,,2026-10-07,53.56,0.0472,999.0,0,None,Not Required,None
A000009,P000009,LAUNCH,LAUNCH,2024-11-23,,2026-11-23,83.58,0.0798,99.0,0,None,Not Required,None
A000010,P000010,LAUNCH,LAUNCH,2023-10-08,,2025-10-07,82.72,0.0782,99.0,0,None,Not Required,None
A000011,P000011,LAUNCH,LAUNCH,2018-08-17,,2020-08-16,85.77,0.079,99.0,0,None,Not Required,None
A000012,P000012,SCALE,SCALE,2024-08-12,,2026-08-12,37.0,0.0446,1999.0,0,None,Not Required,None
A000013,P000013,LAUNCH,LAUNCH,2025-08-18,,2027-08-18,90.49,0.0879,99.0,0,None,Not Required,None
A000014,P000014,LAUNCH,LAUNCH,2023-02-24,,2025-02-23,98.11,0.0785,99.0,0,None,Not Required,None
A000015,P000015,SCALE,SCALE,2019-08-27,,2021-08-26,44.36,0.0479,1999.0,0,None,Not Required,None
A000016,P000016,PLATFORM_ISV,PLATFORM_ISV,2024-12-15,,2026-12-15,52.78,0.0539,999.0,0,None,Not Required,None
A000017,P000017,GROWTH,GROWTH,2023-12-05,,2025-12-04,70.74,0.0592,499.0,0,None,Not Required,None
